epoch,train_loss,train_acc,val_loss,val_acc
1,5.3988,6.08,2.9863,25.09
2,3.1636,16.94,1.9715,47.27
3,2.6339,25.12,1.5846,58.55
4,2.4491,28.51,1.4675,60.00
5,2.2792,31.86,1.2257,63.18
6,2.0465,37.82,1.0241,70.45
7,1.8997,40.39,1.0363,71.00
8,1.8233,42.75,0.9609,73.27
9,1.6850,46.63,0.8447,73.64
10,1.6550,47.92,0.7746,76.09
11,1.5427,49.57,0.6912,81.36
12,1.4953,51.37,0.6668,82.64
13,1.4461,53.47,0.7345,76.27
14,1.3591,55.63,0.6689,80.09
15,1.3108,56.73,0.6621,81.55
16,1.2743,57.92,0.5870,84.09
17,1.1653,61.20,0.5191,86.36
18,1.0926,63.00,0.5397,86.36
19,1.0663,64.33,0.3988,89.09
20,1.0551,64.84,0.4823,86.00
21,1.0294,65.92,0.5733,85.18
22,1.0145,66.41,0.4146,87.55
23,0.9701,67.82,0.4234,90.45
24,0.8437,71.31,0.4724,89.64
25,0.7991,72.86,0.4179,90.27
26,0.7963,72.80,0.4697,90.18
27,0.7655,74.96,0.3899,90.09
28,0.7219,75.31,0.4756,89.09
29,0.7445,75.24,0.3602,91.64
30,0.6567,78.24,0.3869,89.64
31,0.6160,78.65,0.3276,92.36
32,0.5670,81.43,0.3317,92.55
33,0.5395,81.86,0.2814,93.73
34,0.5084,83.06,0.3004,92.73
35,0.4682,84.24,0.4051,92.27
36,0.4458,84.16,0.4320,91.82
37,0.4672,84.39,0.3930,92.09
38,0.3910,86.55,0.2667,94.27
39,0.4018,86.80,0.3037,93.45
40,0.3862,87.90,0.2452,93.73
41,0.3695,87.69,0.2857,94.82
1,5.8765,6.53,3.0248,23.36
2,3.3178,14.04,2.1925,37.82
3,2.8976,20.35,1.8658,46.18
4,2.6463,25.12,1.6360,53.09
5,2.3925,29.69,1.2488,62.09
6,2.2490,32.73,1.2560,62.45
7,2.1416,35.08,1.1171,69.82
8,1.9363,39.90,1.0598,69.73
9,1.8929,40.94,0.9051,73.18
10,1.7795,43.33,0.9245,76.45
11,1.6756,45.90,0.7837,78.64
12,1.5950,48.41,0.8463,74.82
13,1.5519,50.12,0.8433,75.45
14,1.4830,51.51,0.7322,78.18
15,1.4644,52.67,0.7640,78.82
16,1.4344,53.20,0.6819,78.45
17,1.2883,57.35,0.6168,83.00
18,1.2482,59.00,0.7121,80.73
19,1.2546,59.16,0.6159,82.55
20,1.1613,61.53,0.5541,85.27
21,1.1404,61.90,0.6591,84.82
22,1.0667,64.80,0.5329,86.00
23,1.0217,65.39,0.5385,87.36
24,0.9339,68.45,0.5167,85.91
25,1.0152,66.31,0.4815,85.73
26,0.9076,69.61,0.4172,87.73
27,0.8624,69.84,0.4576,88.55
28,0.8211,71.94,0.4681,87.36
29,0.7765,73.37,0.4454,88.64
30,0.7662,74.27,0.3742,91.09
31,0.7264,74.90,0.4058,89.45
1,5.0716,6.59,2.9385,27.64
2,3.3223,14.73,2.4742,37.00
3,2.9750,19.33,1.8786,46.64
4,2.5476,26.08,1.4674,62.00
5,2.4575,27.65,1.3952,57.55
6,2.2189,32.94,1.2140,63.36
7,2.1019,35.84,1.2147,65.27
8,1.9357,38.78,0.9956,66.36
9,1.8331,41.75,0.8630,75.36
10,1.8015,43.18,0.8514,74.18
11,1.7178,45.29,0.9370,74.36
12,1.5936,49.33,0.8333,79.55
13,1.5369,50.65,0.8843,75.64
14,1.4663,52.25,0.6197,84.91
15,1.3576,55.59,0.7329,82.91
16,1.2966,57.63,0.5773,84.09
17,1.2249,58.73,0.6145,82.55
18,1.1360,62.24,0.6403,84.64
19,1.0801,63.86,0.5536,84.00
20,1.0163,66.55,0.6202,85.64
21,1.0109,66.33,0.4556,88.27
22,0.9118,69.39,0.4664,89.45
23,0.8316,71.92,0.3578,88.91
24,0.7740,73.84,0.3458,91.36
25,0.7655,74.43,0.4100,88.82
26,0.6671,77.39,0.4441,90.36
27,0.6625,77.82,0.3881,90.64
28,0.5956,80.14,0.3278,92.09
29,0.5533,80.86,0.3577,92.45
30,0.5459,81.53,0.3158,92.36
31,0.4794,84.12,0.2622,93.18
32,0.4520,84.57,0.2651,93.73
33,0.4253,86.31,0.3571,92.09
34,0.3995,86.73,0.3531,92.18
35,0.3717,87.71,0.2484,93.91
36,0.3028,89.63,0.2539,95.18
37,0.3113,89.76,0.2931,94.27
38,0.2822,90.73,0.3057,94.18
39,0.2800,90.41,0.3939,93.73
40,0.2544,91.43,0.1686,95.82
41,0.2656,91.43,0.1975,96.18
42,0.2476,92.31,0.2663,95.09
43,0.2122,93.10,0.3622,93.55
44,0.2455,92.35,0.2588,94.64
45,0.1907,93.63,0.2290,94.55
46,0.1766,94.27,0.2987,94.91
47,0.1926,93.69,0.2638,93.55
48,0.1625,94.71,0.1642,96.00
49,0.1651,94.75,0.2576,94.91
50,0.1620,94.75,0.2991,93.73
51,0.1569,95.10,0.1953,95.55
